Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Bernede,C,Verona,C,A,C,C,B,C,B,B,B,B,C,C,C,C,C,B,B,C,B
Bianco,C,Fiorentina,B,A,B,B,B,A,C,C,C,B,C,A,C,B,B,S,B,C,B
Billing,C,,C,A,C,C,B,C,A,A,A,S,S,C,B,C,A,B,A,C,A
Bohinen,C,,A,A,A,B,B,B,B,A,C,C,A,A,A,A,B,B,C,C,C
Bondo,C,Cremonese,A,A,A,A,A,A,C,C,C,B,A,A,A,A,B,B,A,S,B
Bove,C,,C,C,C,B,C,C,C,B,C,B,B,B,C,C,C,C,B,C,B
Braunöder,C,,A,A,A,A,S,S,B,A,A,A,C,S,A,A,B,C,S,S,S
Brenner,C,Udinese,C,C,C,C,C,C,B,B,B,B,S,C,C,C,C,C,C,C,C
Brescianini,C,Atalanta,C,C,C,C,C,C,A,B,A,C,B,C,C,C,C,C,C,C,C
Busio,C,,C,A,B,C,B,B,C,C,C,C,B,C,C,C,B,S,C,C,C
Cacace,C,,C,C,C,C,B,B,C,C,C,C,A,C,C,C,A,C,B,C,B
Cacciamani,C,,A,A,A,S,S,S,S,S,S,C,A,C,,A,C,C,C,C,C
Camara,C,,A,A,A,C,C,C,A,A,A,C,C,C,A,A,S,A,S,C,S
Caprari,C,,C,C,C,C,C,C,B,C,B,C,C,C,B,C,S,B,C,C,C
Caqueret,C,Como,C,C,C,B,C,C,C,C,C,B,C,C,C,C,C,C,B,C,A
Casadei,C,Torino,C,C,C,C,A,B,C,C,C,B,B,A,C,C,B,C,C,C,C
Cassa,C,,A,A,A,S,S,S,S,S,S,C,C,C,,A,C,C,C,C,C
Castrovilli,C,,A,A,A,B,C,C,B,B,A,C,C,C,A,A,B,A,C,C,C
Cataldi,C,Lazio,C,A,C,B,B,B,C,C,C,B,C,S,C,C,C,A,C,C,C
Ciurria,C,,C,C,C,B,C,C,B,C,C,C,S,C,C,C,C,S,C,C,C
Coulibaly,C,Lecce,B,A,B,A,A,A,C,C,C,A,B,B,C,B,C,A,C,C,C
Cristante,C,Roma,C,C,C,C,B,B,C,C,C,B,C,B,C,C,C,C,A,C,A
Cyprien,C,,A,A,A,C,S,C,S,S,S,C,C,S,A,A,B,C,C,C,C
Da Cunha,C,Como,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,S,C,C,C
De Ketelaere,C,Atalanta,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C
Deiola,C,Cagliari,C,B,C,C,A,B,B,C,B,A,A,B,C,C,C,C,A,C,A
Dele-Bashiru,C,Lazio,C,C,C,C,B,C,B,C,B,C,A,C,C,C,C,C,C,C,C
Dia,C,Lazio,C,C,C,C,C,C,C,C,C,B,S,C,C,C,C,S,C,C,C
Doumbia,C,,A,A,A,C,A,B,B,B,B,B,S,C,A,A,S,B,C,C,C
Duda,C,,B,C,C,A,C,B,C,C,C,B,C,A,C,C,C,B,A,S,A
Duncan,C,,A,A,A,C,C,C,C,C,C,B,C,A,A,A,A,A,C,C,C
Ekkelenkamp,C,Udinese,C,C,C,C,B,C,B,C,C,C,B,C,C,C,C,C,C,C,C
Ekong,C,,A,A,A,B,B,B,S,S,S,C,A,C,A,A,B,B,A,C,A
El Azzouzi,C,Bologna,A,A,A,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
El Haddad,C,,A,A,A,S,S,S,S,S,S,C,B,C,,A,C,C,C,C,C
Engelhardt,C,Como,C,C,C,B,C,B,B,B,B,C,C,A,C,C,C,B,B,C,B
Estévez,C,,A,A,A,A,C,B,B,B,B,S,C,S,A,A,B,A,A,C,A
Fabbian,C,Bologna,C,C,C,C,C,C,A,B,A,B,S,C,C,C,C,B,C,C,C
Fagioli,C,Fiorentina,C,C,C,B,C,C,B,C,B,C,C,B,C,C,B,A,B,C,B
Fazzini,C,Fiorentina,C,C,C,C,A,C,C,C,C,C,B,C,C,C,C,C,C,S,C
Felici,C,Cagliari,A,C,C,B,C,B,B,B,B,C,S,C,A,A,A,C,C,C,C
Ferguson,C,Roma,C,C,C,C,C,C,C,B,C,C,C,B,A,A,C,B,C,C,C
Fofana,C,Milan,B,C,C,B,C,B,C,C,C,C,C,A,C,C,B,C,C,C,C
Forson,C,,A,A,A,C,C,C,A,A,A,C,C,C,A,A,B,B,C,C,C
Frattesi,C,Inter,C,C,C,C,B,C,A,B,B,C,S,C,C,C,C,C,C,C,C
Frendrup,C,Genoa,C,A,B,B,A,A,C,C,C,A,B,S,C,C,C,A,C,C,C
Freuler,C,Bologna,B,B,B,A,B,A,C,C,C,B,C,B,C,B,B,C,C,C,C
Félix,C,,C,A,C,C,C,C,B,B,B,C,C,C,C,C,A,S,A,C,A
Gaetano,C,Cagliari,C,C,C,C,C,C,A,B,B,B,B,C,B,C,S,C,C,C,C
Gagliardini,C,,A,A,A,S,C,B,S,S,A,C,C,B,,A,C,B,S,C,S
Gilmour,C,Napoli,A,C,B,A,C,B,B,C,B,A,C,A,A,A,A,A,C,C,C
Gineitis,C,Torino,C,C,C,C,C,C,B,C,B,B,S,C,C,C,C,A,B,C,B
Gourna-Douath,C,,A,A,A,B,A,A,B,A,B,C,B,C,A,A,B,B,S,C,S
Grassi,C,Cremonese,B,A,B,B,A,A,C,C,C,A,B,A,C,C,C,A,B,C,A
Guendouzi,C,Lazio,B,C,B,A,C,B,C,C,C,C,C,B,C,B,B,B,C,C,C
Haas,C,,A,A,A,S,A,S,A,A,A,A,A,S,,A,C,B,B,C,B
Haj,C,,C,C,C,C,C,C,A,A,A,B,A,C,C,C,C,C,S,C,S
Harroui,C,Verona,C,C,C,C,B,C,B,B,B,C,C,C,B,C,S,C,C,C,C
Henderson,C,,A,C,C,A,C,B,C,C,C,A,C,B,A,A,A,C,A,C,A
Hernani,C,Parma,C,C,C,C,C,C,B,C,C,C,C,C,A,A,C,C,A,C,A
Ilić,C,,C,A,B,C,C,C,B,B,B,C,C,C,C,C,C,A,A,C,A
Jóhann Helgason,C,,A,C,C,C,C,C,C,C,C,C,B,C,A,A,S,C,C,C,C
Kaba,C,Lecce,A,A,A,B,S,A,A,A,A,A,B,B,A,A,B,C,C,C,C
Karamoh,C,,A,C,B,C,B,C,B,B,B,C,A,C,A,A,S,C,C,C,C
Karlström,C,,A,C,B,A,A,A,C,C,C,A,B,A,A,A,A,C,B,C,B
Kasa,C,,A,A,A,C,A,C,A,A,A,S,A,C,A,A,S,B,S,C,S
Kastanos,C,Verona,C,C,C,C,C,C,A,B,A,B,B,C,C,C,C,A,A,C,A
Keita,C,Parma,A,C,B,A,B,A,C,C,C,A,A,S,A,A,B,C,A,S,B
Kofod Andersen,C,,C,C,C,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C
Koné,C,,C,B,B,C,B,C,C,C,C,C,C,B,B,C,S,A,C,C,B
Koopmeiners,C,Juventus,C,C,C,C,C,C,C,C,C,C,B,C,C,C,A,C,C,C,C
Kovalenko,C,,A,A,A,C,S,B,S,S,S,B,C,C,A,A,B,C,C,C,C
Le Fée,C,,A,A,A,B,A,A,C,B,C,C,C,A,A,A,B,B,B,C,B
Lhassine Kone,C,,A,A,A,S,S,S,S,S,S,S,C,B,,A,C,C,S,C,S
Linetty,C,,C,A,B,B,B,B,C,C,C,B,A,A,C,C,B,A,A,C,A
Lobotka,C,Napoli,A,B,B,A,B,A,C,C,C,B,C,A,A,A,B,B,C,C,C
Locatelli,C,Juventus,C,C,B,B,B,B,C,C,C,B,C,A,B,B,C,B,B,C,B
Loftus-Cheek,C,Milan,A,A,A,B,C,C,B,B,C,C,C,C,A,A,A,S,B,C,B
Lookman,C,Atalanta,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,S,C,C,C
Lovrić,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,B,C,C,C
Luiz,C,,A,A,A,C,C,C,A,A,A,C,C,B,A,A,A,A,B,C,A
Makoumbou,C,,A,C,B,A,A,A,C,C,C,S,B,S,A,A,B,C,C,S,C
Maldini,C,Atalanta,C,A,C,C,B,C,B,C,B,C,A,C,C,C,A,A,B,C,B
Maleh,C,Lecce,A,B,B,B,B,B,C,C,C,A,C,B,A,A,A,C,A,S,B
Malinovskyi,C,Genoa,A,C,C,B,C,C,B,B,B,A,C,B,A,A,B,C,A,C,A
Mandragora,C,Fiorentina,C,C,C,C,C,C,C,C,C,A,C,B,C,C,C,S,B,C,A
Marin,C,Pisa,C,C,C,C,C,C,B,C,B,C,C,B,B,C,C,S,B,C,B
Martins,C,,A,C,C,S,C,C,A,A,A,C,A,C,,A,C,C,S,C,S
Masini,C,Genoa,C,A,B,A,A,A,C,C,C,B,A,B,C,C,C,B,C,C,C
Mazzitelli,C,Cagliari,C,C,C,B,C,C,A,A,A,A,C,C,C,C,C,C,B,C,B
McKennie,C,Juventus,C,C,C,C,C,C,C,C,C,B,B,C,B,C,A,C,C,C,C
McTominay,C,Napoli,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C
Melegoni,C,,A,C,C,S,C,C,B,A,A,S,S,B,,A,C,C,C,C,C
Messias,C,Genoa,C,C,C,C,B,C,B,B,B,C,B,C,B,C,S,C,C,C,C
Miretti,C,Juventus,C,C,C,C,C,C,C,C,C,C,A,C,C,C,B,C,C,C,C
Mkhitaryan,C,Inter,B,C,C,B,C,B,C,C,C,C,C,C,B,C,A,C,C,C,C
Moro,C,Sassuolo,A,C,C,A,B,B,C,C,C,B,C,B,A,A,A,C,C,C,C
Musah,C,Milan,A,C,B,C,C,C,C,C,C,C,C,C,A,A,S,C,B,C,B
Ndary Adopo,C,,B,B,B,B,C,B,C,C,C,A,B,B,C,C,B,S,B,S,C
Ndour,C,Fiorentina,A,A,A,A,S,S,B,B,B,C,B,C,A,A,B,C,B,C,B
Nicolussi Caviglia,C,,C,C,C,C,B,B,C,C,C,A,C,S,C,C,C,B,B,S,B
Odgaard,C,Bologna,C,B,C,C,C,C,C,C,C,C,A,C,C,C,C,A,C,C,C
Onana,C,,A,A,A,S,A,S,A,A,A,S,B,A,,A,C,B,B,C,B
Ondrejka,C,Parma,C,A,C,C,C,C,A,A,A,C,A,C,C,C,C,A,C,C,C
Oudin,C,,A,A,A,A,C,C,A,A,A,A,B,C,A,A,B,A,B,C,B
Oumar Conde,C,,A,A,A,S,S,S,A,A,S,B,C,C,,A,C,C,S,C,S
Pafundi,C,Udinese,A,A,A,C,C,C,S,S,S,C,S,C,A,A,B,A,C,C,C
Paredes,C,,C,C,C,C,C,C,C,C,C,B,C,A,B,C,C,B,B,C,B
Payero,C,Udinese,C,C,C,C,C,B,C,C,C,C,B,C,C,C,B,B,B,C,B
Paz,C,Como,C,C,C,C,C,C,C,C,C,C,C,C,B,C,S,C,C,C,C
Pašalić,C,,C,C,C,C,C,C,C,C,C,C,C,C,B,C,S,C,C,C,C
Pellegrini,C,Roma,C,B,C,C,C,C,C,C,C,C,B,C,B,C,S,S,B,C,B
Pereiro,C,,A,A,A,S,S,S,S,S,S,S,C,C,,A,C,C,C,C,C
Perrone,C,Como,A,C,C,B,C,B,C,C,C,A,C,A,A,A,A,C,B,C,B
Pessina,C,,A,A,A,A,A,S,C,B,C,B,A,B,A,A,B,B,B,C,B
Pierini,C,Sassuolo,A,A,A,S,C,B,S,S,B,B,S,C,,A,C,B,C,C,C
Pierret,C,Lecce,A,A,A,A,A,S,C,C,C,A,C,S,A,A,B,B,C,C,C
Pisilli,C,Roma,C,C,C,C,B,C,B,B,B,C,C,C,C,C,A,C,S,C,S
Pobega,C,Bologna,C,C,C,C,C,C,C,C,C,B,B,B,C,C,B,C,S,S,A
Prati,C,Cagliari,A,A,A,A,C,B,C,B,B,S,B,A,A,A,B,A,C,C,C
Pérez,C,,C,A,B,B,C,B,C,C,C,C,C,B,C,C,C,S,B,C,B
Rafia,C,Lecce,A,A,A,B,C,B,C,C,C,B,C,C,A,A,A,S,B,C,A
Ramadani,C,Lecce,B,B,B,A,B,A,C,C,C,S,B,S,C,C,C,B,C,C,C
Reijnders,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,C
Ricci,C,Milan,B,B,B,B,A,A,C,C,C,C,B,A,C,B,B,C,B,S,B
Richardson,C,Fiorentina,C,C,C,B,B,B,B,B,B,C,B,B,C,C,C,C,A,C,S
Roberto,C,,A,C,C,C,C,C,C,B,C,B,C,B,A,A,A,C,S,C,S
Rovella,C,Lazio,A,C,B,B,B,B,C,C,C,C,C,A,A,A,S,C,A,C,A
Samardzic,C,Atalanta,C,C,C,C,C,C,A,B,B,C,C,C,C,C,C,S,B,C,B
Sansone,C,,A,A,A,C,S,C,S,S,S,S,S,C,A,A,B,C,S,C,S
Sensi,C,,C,A,C,C,B,C,A,A,A,B,C,B,A,A,C,B,C,C,C
Serdar,C,Verona,C,C,C,C,B,C,C,C,C,B,B,B,C,C,C,C,B,S,B
Sohm,C,Fiorentina,C,A,B,C,B,B,C,C,C,C,C,B,C,C,C,S,C,C,C
Solbakken,C,,A,A,A,C,B,B,B,B,B,C,A,C,A,A,A,B,B,C,B
Soulé,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C
Sulemana,C,Atalanta,C,A,C,C,S,C,B,A,A,A,B,S,C,C,C,C,B,C,B
Suslov,C,Verona,A,B,B,B,C,B,C,C,C,C,B,C,A,A,S,A,A,S,B
Tameze,C,Torino,A,A,A,B,C,B,B,B,A,C,B,C,A,A,B,A,A,C,A
Thorsby,C,Genoa,A,B,B,C,C,C,C,C,C,B,A,C,A,A,S,A,B,C,B
Thuram,C,Inter,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C
Tidiane Niasse,C,,A,A,A,B,A,A,C,B,C,A,B,B,A,A,B,B,A,C,A
Urbanski,C,,C,A,B,B,B,B,B,B,B,C,C,C,C,C,C,A,A,C,A
Valoti,C,Cremonese,A,A,A,S,S,S,S,S,S,S,S,S,,A,C,C,S,C,S
Vecino,C,Lazio,C,C,C,C,C,C,B,B,B,S,B,A,C,C,B,C,S,C,S
Verdi,C,,A,A,A,C,C,C,S,S,S,C,B,C,A,A,B,B,S,C,S
Vignato,C,,A,A,A,B,S,A,A,A,A,B,B,C,A,A,B,C,C,C,C
Vlašić,C,,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C
Zambo Anguissa,C,Napoli,C,C,C,C,B,C,C,C,C,A,C,C,C,C,C,C,C,C,C
Zarraga,C,Udinese,C,A,B,B,B,A,B,B,B,A,A,B,C,C,C,B,C,C,C
Zeroli,C,,A,C,C,C,C,C,B,B,B,A,S,B,A,A,A,C,C,C,C
Zieliński,C,,C,C,C,C,C,C,A,B,B,C,C,B,A,A,A,C,C,C,C
de Roon,C,,C,C,C,A,B,A,C,C,C,B,C,A,C,C,C,C,C,C,C
Çalhanoğlu,C,,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,C,B,C,B
Éderson,C,,C,B,C,C,C,C,C,C,C,B,C,B,C,C,C,S,C,S,C
Črnigoj,C,,A,A,A,B,S,A,A,A,S,C,A,C,A,A,B,C,C,C,C
Żurkowski,C,,A,A,A,C,S,A,S,S,A,B,S,B,A,A,B,C,C,C,C
Abraham,A,,C,C,C,C,C,C,B,C,B,A,C,B,A,B,S,C,C,C,C
Adams,A,Torino,C,C,C,C,B,B,C,C,C,A,A,B,C,C,C,C,C,C,C
Ajayi,A,,A,A,S,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
Akpan Ankeye,A,,A,A,S,S,S,S,S,S,S,S,B,B,,A,C,C,C,C,C
Alidou,A,,A,A,S,S,S,S,S,S,A,B,A,S,,A,C,C,C,C,C
Almqvist,A,Parma,A,B,A,B,C,B,B,C,B,C,A,C,B,A,A,B,A,C,S
Arnautović,A,,C,C,C,C,C,C,B,B,B,A,C,C,C,C,C,C,B,C,B
Baldé,A,,C,A,B,B,A,A,C,B,C,C,C,S,C,C,C,B,A,C,A
Balotelli,A,,A,A,S,S,S,S,S,S,S,S,B,C,,A,C,C,S,C,S
Banda,A,Lecce,A,C,A,B,C,B,B,B,B,C,A,C,S,A,A,B,B,C,B
Belotti,A,,C,A,B,C,B,C,B,B,B,B,A,A,B,C,B,B,B,C,B
Beltrán,A,,C,C,C,B,C,C,C,C,C,B,C,A,B,B,B,C,A,C,A
Benedyczak,A,Parma,A,A,S,A,A,A,B,A,A,B,A,B,S,A,B,B,C,C,C
Bonny,A,Inter,B,C,C,C,C,C,C,C,C,B,B,B,A,B,S,C,C,C,C
Bravo,A,Udinese,C,C,C,A,A,A,A,B,A,B,C,B,C,C,C,C,A,C,A
Burnete,A,,A,A,S,C,S,B,S,S,S,S,S,C,S,A,C,C,C,C,C
Camarda,A,Lecce,A,A,S,C,C,C,A,A,A,A,S,C,S,A,B,B,C,C,C
Cambiaghi,A,Bologna,B,C,C,A,C,C,B,B,B,C,C,C,C,B,C,C,C,C,C
Campaniello,A,,A,A,S,C,S,C,S,S,S,S,S,C,S,A,B,C,C,C,C
Cancellieri,A,Lazio,B,A,B,B,A,A,C,C,C,C,B,A,C,B,C,A,B,S,C
Castellanos,A,Lazio,C,C,C,C,C,C,C,C,C,B,C,B,B,C,S,A,A,S,A
Castro,A,Bologna,C,C,C,C,C,C,C,C,C,A,B,B,C,C,C,C,A,C,A
Cerri,A,,A,A,S,C,S,C,S,S,A,S,S,C,S,A,A,C,C,C,C
Charpentier,A,,C,C,C,C,C,C,S,S,A,C,C,B,B,C,B,C,A,C,A
Chukwueze,A,Milan,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,A,C,C,C
Cissè,A,,A,A,S,S,S,S,S,S,S,S,C,S,,A,C,C,C,C,C
Colombo,A,Genoa,C,B,B,B,C,B,C,C,C,B,B,A,B,B,C,A,A,S,B
Colpani,A,,B,B,A,B,B,A,C,C,C,C,C,C,B,B,B,B,C,C,C
Coman,A,,C,A,B,S,S,S,B,A,B,B,B,C,C,C,C,C,S,C,S
Conceição,A,,B,C,C,A,C,C,C,C,C,C,C,C,C,B,C,S,A,S,A
Cornet,A,,C,C,C,C,C,C,B,A,B,C,B,C,C,C,C,C,C,C,C
Correa,A,,C,C,C,C,C,C,B,B,B,C,C,B,C,C,B,C,A,C,A
Cutrone,A,Como,C,C,C,C,B,C,C,C,C,C,A,C,C,C,C,C,C,C,C
Dallinga,A,Bologna,C,C,C,C,A,C,B,C,B,A,A,C,B,C,A,C,C,C,C
Daniel Caprini,A,,A,A,S,S,S,S,S,S,S,S,C,C,,A,C,C,C,C,C
Davis,A,Udinese,B,C,B,B,C,C,B,C,C,C,B,C,B,B,A,S,B,C,B
Diao,A,Como,C,B,C,C,A,B,C,C,C,C,C,C,C,C,C,C,B,C,B
Domínguez,A,,B,C,C,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C
Douvikas,A,Como,C,C,C,C,C,C,C,B,C,B,A,B,B,C,B,C,B,C,B
Dovbyk,A,Roma,C,B,C,C,B,C,C,C,C,A,S,C,B,C,C,B,C,C,C
Dybala,A,Roma,C,C,C,C,C,C,C,C,C,C,C,C,A,B,B,S,C,C,B
Ekhator,A,Genoa,B,C,B,A,C,B,B,B,B,A,B,B,B,B,B,C,C,C,C
Ekuban,A,Genoa,B,C,C,C,C,C,A,A,B,B,A,C,A,B,S,C,B,C,B
Elmas,A,,C,A,C,A,A,A,C,C,C,C,C,B,C,C,C,B,C,C,C
Esposito,A,Cagliari,C,A,B,B,B,B,C,C,C,B,C,S,C,C,C,S,C,C,C
Fadera,A,Sassuolo,A,C,B,A,C,B,C,C,C,C,B,C,B,A,B,A,B,S,C
Fila,A,,C,A,C,C,A,B,C,B,C,A,B,B,C,C,C,B,S,S,S
Folorunsho,A,Cagliari,A,A,S,B,B,A,B,B,B,B,C,A,S,A,A,B,S,C,S
Gabrielloni,A,Como,C,C,C,B,C,C,S,S,S,C,C,C,C,C,C,C,S,C,S
Ganvoula M'Boussy,A,,A,A,S,A,A,A,C,B,C,A,A,B,S,A,B,B,C,C,C
Giménez,A,,C,C,C,C,C,C,C,B,C,C,S,B,C,C,C,C,S,S,A
González,A,,B,C,B,B,A,B,C,C,C,C,C,B,B,B,A,C,B,C,B
Guðmundsson,A,,C,B,C,C,C,C,C,C,C,C,C,A,C,C,C,A,B,C,B
Gytkjær,A,,C,C,C,C,B,B,A,B,A,S,S,B,A,B,B,C,C,C,C
Ikone,A,,B,A,B,C,A,B,B,B,B,C,C,C,B,C,B,B,C,C,C
Iling-Junior,A,,C,A,C,A,B,S,S,S,A,C,C,C,C,C,C,B,C,C,C
Isaksen,A,Lazio,B,B,B,B,B,B,C,C,C,C,B,C,B,B,A,B,B,C,B
Jasim,A,,A,A,S,S,S,S,S,S,S,C,C,C,,A,C,C,C,C,C
Jović,A,,C,A,B,C,C,C,B,B,B,B,C,S,B,C,B,S,B,C,B
Karlsson,A,Bologna,B,A,B,B,B,B,B,B,B,C,C,C,A,B,B,A,A,C,A
Kean,A,Fiorentina,C,C,C,C,B,C,C,C,C,B,A,A,C,C,B,C,B,C,B
Kolo Muani,A,,C,B,C,C,C,C,C,C,C,B,B,C,C,C,C,A,C,C,C
Konate,A,,A,C,C,A,S,S,S,S,S,C,B,B,S,A,B,C,C,C,C
Kouamé,A,,A,B,A,C,C,C,B,C,B,B,C,C,A,A,S,S,C,C,C
Krstović,A,,C,C,C,C,B,C,C,C,C,B,B,A,B,C,A,C,B,C,B
Kvaratskhelia,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
Lambourde,A,,C,A,C,B,C,B,S,S,S,B,S,C,C,C,C,B,S,C,S
Lapadula,A,,A,A,S,C,A,C,A,A,A,C,C,A,S,A,A,B,A,C,A
Leão,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,B
Livramento,A,,B,C,B,B,B,B,B,B,B,C,A,C,B,B,A,C,A,S,B
Lucca,A,Napoli,C,B,C,C,B,B,C,C,C,A,S,S,C,C,C,A,A,C,A
Lukaku,A,Napoli,C,C,C,C,C,C,C,C,C,B,A,C,B,C,C,C,C,C,C
Luvumbo,A,Cagliari,B,C,B,A,C,B,C,C,C,C,B,C,C,B,B,S,C,C,C
Man,A,Parma,B,C,C,B,C,C,C,C,C,C,C,C,B,B,A,B,C,C,C
Marić,A,,A,A,S,B,S,A,B,B,A,B,C,C,S,A,A,C,C,C,C
Martínez,A,,C,C,C,C,C,C,C,C,C,B,C,C,C,C,A,S,C,C,C
Mbangula,A,,C,C,C,S,C,B,B,B,B,C,C,B,C,C,C,C,C,C,B
Mihaila,A,,A,C,B,B,B,A,C,C,C,C,C,A,S,A,S,C,B,C,B
Morata,A,Como,C,A,C,C,B,C,C,C,C,B,C,B,C,C,C,A,A,C,S
Morente,A,,B,C,B,A,B,A,C,C,C,C,C,C,C,B,C,C,B,C,B
Mosquera,A,Verona,C,B,C,C,B,C,B,C,B,B,B,B,B,C,S,B,A,C,A
Mota,A,,B,C,B,B,B,B,C,C,C,C,C,B,C,C,C,C,B,C,B
Mutandwa,A,,A,A,S,C,S,B,S,S,A,A,S,A,S,A,B,C,C,C,C
N'dri,A,,A,A,S,A,B,A,A,A,A,C,S,C,S,A,B,B,C,C,C
Ndoye,A,Bologna,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B
Neres,A,Napoli,B,C,C,B,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C
Ngonge,A,Torino,A,A,S,C,C,C,A,A,S,C,C,C,S,A,B,B,S,C,S
Nije,A,,C,A,B,C,B,C,S,S,A,C,B,B,B,C,B,B,B,C,A
Noslin,A,Lazio,B,C,C,B,C,C,B,B,A,B,B,B,C,C,C,C,B,C,B
Okafor,A,Milan,B,A,B,C,C,C,B,B,B,C,C,C,B,B,B,A,C,C,C
Oristanio,A,,B,C,B,B,C,B,C,C,C,C,C,B,B,B,A,C,C,C,C
Orsolini,A,Bologna,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Pavoletti,A,Cagliari,C,A,C,C,C,C,A,A,A,S,C,B,B,C,B,A,S,C,S
Pedro,A,Lazio,C,C,C,C,C,C,A,B,B,C,C,C,C,C,C,A,B,C,B
Pellegri,A,,C,A,C,S,C,A,B,B,B,C,B,B,C,C,C,B,S,C,S
Pellegrino,A,Parma,C,C,C,C,B,C,C,B,C,A,B,A,C,C,B,C,A,C,A
Perciun,A,,A,A,S,S,B,S,S,S,B,B,C,C,,A,C,B,C,C,C
Petagna,A,,A,A,S,S,S,S,A,A,A,A,S,A,S,A,B,C,A,C,A
Piccoli,A,Cagliari,C,B,B,C,A,C,C,C,C,A,A,A,B,C,S,C,B,C,B
Pierotti,A,Lecce,B,C,B,A,C,B,C,C,C,C,B,S,C,B,C,B,A,S,A
Pinamonti,A,Sassuolo,C,B,B,B,A,B,C,C,C,A,B,S,C,C,C,A,C,C,C
Pizarro,A,Udinese,A,A,S,S,S,S,S,S,S,S,S,S,,A,C,C,C,C,C
Pohjanpalo,A,,C,A,B,C,B,C,C,C,C,A,B,S,A,B,A,S,C,C,C
Politano,A,Napoli,B,C,B,A,C,A,C,C,C,C,C,C,C,B,B,A,C,C,C
Pulisic,A,Milan,C,C,C,C,C,C,C,C,C,C,C,C,B,C,A,C,C,C,C
Raimondo,A,,A,A,S,C,B,C,S,S,S,C,B,C,S,A,B,B,C,C,C
Raspadori,A,Napoli,C,C,C,C,C,C,B,C,B,B,C,A,C,C,C,S,C,C,C
Rebić,A,,B,A,A,B,C,C,B,B,B,C,C,C,B,B,A,S,S,S,A
Retegui,A,,C,C,C,C,C,C,C,C,C,A,B,C,C,C,C,C,C,C,C
Sanabria,A,Cremonese,B,B,B,B,A,A,C,C,C,S,A,S,B,B,A,C,B,C,B
Sarr,A,Verona,B,B,B,A,B,A,C,C,C,B,B,A,C,B,C,S,C,C,C
Shomurodov,A,,C,C,C,C,C,C,B,C,B,B,B,B,C,C,B,C,C,C,C
Simeone,A,Torino,B,C,C,C,C,C,A,A,A,C,B,C,A,C,S,C,B,C,B
Sottil,A,Lecce,A,C,A,A,C,A,B,B,B,C,B,C,C,B,B,B,C,C,C
Strefezza,A,Como,B,C,B,A,C,B,C,C,C,C,C,C,C,C,C,C,B,C,B
Sánchez,A,,A,A,S,B,A,A,C,B,B,A,C,S,S,A,A,B,C,C,C
Taremi,A,Inter,B,C,B,C,C,C,B,B,B,B,C,B,S,A,S,C,C,C,C
Tchaouna,A,,B,A,A,C,B,C,B,B,A,C,C,C,A,B,A,B,S,S,S
Tengstedt,A,,C,B,C,C,A,B,C,C,C,B,B,A,C,C,C,C,C,C,C
Thauvin,A,Udinese,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C
Thuram,A,Inter,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C
Venturino,A,Genoa,C,A,C,C,C,C,A,A,A,C,C,B,C,C,C,B,C,C,C
Viola,A,,B,B,B,B,C,B,C,C,C,B,C,A,C,C,C,A,B,C,B
Vitinha,A,Genoa,B,C,B,A,C,B,C,C,C,C,A,A,C,B,C,B,B,C,B
Vlahović,A,,C,C,C,C,B,C,C,C,C,B,A,B,B,C,S,C,B,C,B
Vlahović,A,,A,A,S,C,C,C,S,S,A,S,S,C,S,A,B,B,C,C,C
